# code | main visual shape | colors (comma separated) | memory title | visual clue | comparison country
# Additional country content. Focus on what a child can actually see, not inferred symbolism.
af|text|white,black|Black writing on white.|Look for black Arabic calligraphy on a plain white flag.|sa
ao|emblem|red,black,yellow|A golden tool in the middle.|Red on top, black below. A yellow gear, machete, and star sit in the middle.|id
al|animal|red,black|An eagle with two heads!|Find the black two-headed eagle on a red background.|cn
ad|vertical|blue,yellow,red|Three stripes with a tiny shield.|Blue, yellow, red standing up, with a coat of arms in the yellow stripe.|ro
ae|stripes|red,green,white,black|A red door beside three stripes.|Find a red stripe on the left, beside green, white, and black horizontal bands.|jo
am|horizontal|red,blue,orange|A sunset stack of three colors.|Red on top, blue in the middle, orange at the bottom.|ru
ag|sun|red,black,blue,white,yellow|A sunrise inside a big V.|Red sides frame a V with a yellow sun rising above blue and white.|ar
at|horizontal|red,white|A white path between two reds.|Three lying-down stripes: red, white, red. No symbol in the middle.|lv
az|horizontal|blue,red,green,white|A little moon on the middle stripe.|Blue, red, green from top to bottom, with a white crescent and star on red.|uz
bi|diagonal|red,green,white|Three red stars in a white circle.|Find a white diagonal cross, red and green triangles, and three stars in the center.|jm
be|vertical|black,yellow,red|Black, yellow, red stand tall.|Three standing stripes. Black is on the left, yellow in the middle, red on the right.|de
bj|stripes|green,yellow,red|A green door and two bright windows.|Green stands on the left. Yellow sits above red on the right.|mg
bf|horizontal|red,green,yellow|A yellow star joins two colors.|Red above green, with one yellow star in the middle.|gh
bg|horizontal|white,green,red|White, green, red lie down.|Three horizontal stripes: white on top, green in the middle, red below.|hu
bh|serrated|red,white|Five white teeth bite into red.|Find white on the left, with five points along its edge against red.|qa
bs|triangle|blue,yellow,black|A black triangle points to sunshine.|A black triangle points right into blue, yellow, and blue horizontal stripes.|lc
ba|triangle|blue,yellow,white|A triangle with a trail of stars.|A yellow right triangle on blue, with white stars following its sloping edge.|br
by|pattern|red,green,white|A little woven ribbon.|A red-and-white decorative pattern at the left, beside a wide red band above green.|lt
bz|emblem|blue,red,green,white|Two people inside a leafy circle.|Look for two people in a white circle on blue, with thin red bands at the top and bottom.|ht
bo|horizontal|red,yellow,green|Red, yellow, green make a stack.|Red above yellow above green. The state flag also has a coat of arms in the middle.|et
bb|vertical|blue,yellow,black|A little black fork in the sunshine.|Three standing stripes: blue, yellow, blue. A black trident sits in the yellow stripe.|se
bn|diagonal|yellow,white,black,red|Two sloping ribbons on yellow.|White and black diagonal bands cross yellow, with a red emblem in the center.|bt
bt|animal|yellow,orange,white|A white dragon on a diagonal!|Find the white dragon stretching across yellow and orange triangles.|lk
bw|horizontal|light blue,black,white|A black road across a blue sky.|Light blue above and below a black stripe with thin white edges.|ee
cf|stripes|blue,white,green,yellow,red|One red stripe crosses four bands.|Four horizontal bands crossed by one red vertical stripe, with a yellow star at the top left.|mu
cl|canton|red,white,blue|One star in a blue corner.|A blue square with one white star at the top left, white beside it, and red below.|us
ci|vertical|orange,white,green|Ireland’s colors walk backward.|Orange, white, green standing up. Ireland starts with green; this flag starts with orange.|ie
cm|vertical|green,red,yellow|A yellow star on a red middle.|Green, red, yellow standing up, with a yellow star in the red stripe.|sn
cd|diagonal|blue,red,yellow|A red road through a blue sky.|A red diagonal band with yellow edges crosses blue. A yellow star sits at the top left.|tz
cg|diagonal|green,yellow,red|A yellow slide between green and red.|A broad yellow diagonal band separates green at the top left from red at the bottom right.|cd
co|horizontal|yellow,blue,red|A double helping of yellow.|Yellow covers the top half. Blue and red each have a smaller stripe below. No central symbol.|ec
km|stripes|yellow,white,red,blue,green|Four stripes meet a moon.|Yellow, white, red, blue bands meet a green triangle holding a white crescent and four stars.|dj
cv|stars|blue,white,red,yellow|Ten stars make a little ring.|A circle of yellow stars sits on blue, crossing thin white-red-white stripes near the bottom.|fm
cr|horizontal|blue,white,red|A wide red road in the middle.|Blue, white, a wide red band, white, blue. The red middle stripe is the widest.|th
cu|triangle|blue,white,red|A red triangle with one white star.|Five blue-and-white horizontal stripes meet a red triangle holding one white star.|cl
cy|map|white,orange,green|A little island drawn on its flag.|A copper-colored island shape sits on white, above two green olive branches.|xk
cz|triangle|white,red,blue|A blue arrow between white and red.|A blue triangle points in from the left, between a white top half and a red bottom half.|pl
de|horizontal|black,red,yellow|Black, red, gold lie down.|Black on top, red in the middle, golden yellow at the bottom. Three horizontal stripes.|be
dj|triangle|light blue,green,white,red|A red star on a white triangle.|Light blue above green, with a white triangle and a red star at the left.|so
dm|cross|green,yellow,black,white,red,purple|A parrot in a circle of stars!|A parrot sits in a red circle on a striped cross, against a green background.|ug
dk|cross|red,white|A white cross on a red blanket.|The white cross reaches every edge and sits closer to the left. Unlike Switzerland, this flag is a rectangle.|ch
do|cross|blue,red,white|A white cross makes four windows.|A wide white cross separates blue and red corners. A coat of arms sits at its center.|ht
dz|crescent|green,white,red|A red moon between green and white.|Green on the left, white on the right, with a red crescent and star in the middle.|pk
ec|horizontal|yellow,blue,red|A yellow sky with a tiny eagle.|Yellow covers the top half above blue and red stripes. A coat of arms sits in the middle.|co
